Participant ID,Chart Type,Data Name, Chart Number, Question number, Task number, Time
KURTIS,HandScaleLego,co2,1,1,1,26.65568
KURTIS,HandScaleLego,co2,1,2,2,39.93477
KURTIS,HandScaleLego,co2,1,3,3,44.80443
KURTIS,HandScaleLego,co2,1,4,4,45.81009
KURTIS,HandScaleLego,co2,1,5,5,25.57056
KURTIS,HandScaleLego,co2,1,6,6,21.86258
KURTIS,PhysicalLego,military,2,1,7,17.58553
KURTIS,PhysicalLego,military,2,2,8,33.14281
KURTIS,PhysicalLego,military,2,3,9,21.91619
KURTIS,PhysicalLego,military,2,4,10,19.72955
KURTIS,PhysicalLego,military,2,5,11,14.46649
KURTIS,PhysicalLego,military,2,6,12,17.75163
KURTIS,PhysicalLego,agriculturalland,4,1,19,1.075454
KURTIS,TableScaleLego,suicide,3,1,13,1.297852
KURTIS,TableScaleLego,suicide,3,2,14,1.298773
